id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,directors,score
ts4,breaking bad,SHOW,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008,TV-MA,48,"Drama, Thriller, Crime",Us,5.0,9.5,1727694.0,337.419,8.8,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Dean Norris', 'Jonathan Banks', 'Bob Odenkirk', 'Betsy Brandt', 'RJ Mitte']",[],9.486257834777764
ts3371,avatar: the last airbender,SHOW,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005,TV-Y7,24,"Scifi, Family, Fantasy, Animation, Action",Us,3.0,9.3,297336.0,61.284,8.7,"['Zach Tyler', 'Mae Whitman', 'Jack De Sena', 'Dante Basco', 'Jessie Flower', 'Greg Baldwin', 'Dee Bradley Baker', 'Grey DeLisle', 'Cricket Leigh', 'Olivia Hack', 'André Sogliuzzo']",[],9.226183628860777
ts90621,kota factory,SHOW,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",2019,TV-MA,42,"Drama, Comedy",In,2.0,9.3,66985.0,10.107,8.2,['Mayur More'],[],8.996040363044678
ts222333,arcane,SHOW,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",2021,TV-14,41,"Action, Scifi, Drama, Fantasy, Animation",Us,1.0,9.1,175412.0,138.891,9.1,"['Hailee Steinfeld', 'Ella Purnell', 'Kevin Alejandro', 'Jason Spisak', 'Toks Olagundoye', 'Harry Lloyd']",[],8.98438456553579
ts20682,attack on titan,SHOW,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",2013,TV-MA,24,"Scifi, Action, Drama, Fantasy, Horror, Animation",Jp,4.0,9.0,325381.0,139.388,8.6,"['Yuki Kaji', 'Yui Ishikawa', 'Marina Inoue', 'Kisho Taniyama', 'Hiro Shimono', 'Yoshimasa Hosoya', 'Takehito Koyasu', 'Natsuki Hanae', 'Ayane Sakura']",[],8.938641774360793
ts11313,death note,SHOW,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"Scifi, Animation, Crime, Drama, Fantasy, Thriller",Jp,1.0,9.0,302147.0,104.037,8.7,"['Mamoru Miyano', 'Noriko Hidaka', 'Nozomu Sasaki']",[],8.934028863572715
ts81120,the last dance,SHOW,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",2020,TV-MA,50,"Documentation, History, Sport",Us,1.0,9.1,108321.0,24.459,8.2,"['Michael Jordan', 'Scottie Pippen', 'Dennis Rodman', 'Steve Kerr', 'Phil Jackson']",['Jason Hehir'],8.91706272526953
ts20681,seinfeld,SHOW,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,TV-PG,24,Comedy,Us,9.0,8.9,302700.0,128.743,8.3,"['Jerry Seinfeld', 'Jason Alexander', 'Michael Richards', 'Julia Louis-Dreyfus']",[],8.836374750944225
ts85398,our planet,SHOW,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,2019,TV-G,50,Documentation,Gb,1.0,9.3,41386.0,14.33,8.8,['David Attenborough'],[],8.83488837177595
tm92641,inception,MOVIE,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010,PG-13,148,"Scifi, Music, Thriller, Action","Gb, Us",0.0,8.8,2268288.0,109.09,8.4,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite', 'Michael Caine', 'Lukas Haas', 'Talulah Riley', 'Tohoru Masamune', 'Taylor Geare', 'Claire Geare', 'Johnathan Geare', 'Yuji Okumoto', 'Earl Cameron', 'Ryan Hayward', 'Miranda Nolan', 'Russ Fega', 'Tim Kelleher', 'Coralie Dedykere', 'Silvie Laguna', 'Virgile Bramly', 'Nicolas Clerc', 'Jean-Michel Dagory', 'Marc Raducci', 'Tai-Li Lee', 'Magnus Nolan', 'Helena Cullinan', 'Mark Fleischmann', 'Adam Cole', 'Jack Murray', 'Natasha Beaumont', 'Carl Gilliard', 'Jill Maddrell', 'Alex Lombard', 'Nicole Pulliam', 'Peter Basham', 'Michael Gaston', 'Felix Scott', 'Andrew Pleavin', 'Lisa Reynolds', 'Shannon Welles', 'Daniel Girondeaud']",['Christopher Nolan'],8.791645320489328
